Sat Mar 21 11:22:15 2020,	 278.0,	 0.00000,	 -7.95000,	 0.21000,	 -0.68000,	 -2.88000,	 -4.81000,	 -2.34000,	2	
Sat Mar 21 11:22:16 2020,	 279.0,	 0.00000,	 -7.92000,	 0.21000,	 -0.65000,	 -2.27000,	 -5.27000,	 -1.34000,	2	
Sat Mar 21 11:22:16 2020,	 280.0,	 0.00000,	 -7.93000,	 0.30000,	 -0.72000,	 -1.15000,	 -3.44000,	 0.27000,	2	
Sat Mar 21 11:22:17 2020,	 281.0,	 0.00000,	 -7.95000,	 0.36000,	 -0.58000,	 -2.44000,	 -3.65000,	 -1.64000,	2	
Sat Mar 21 11:22:17 2020,	 282.0,	 0.00000,	 -7.81000,	 0.45000,	 -0.49000,	 0.60000,	 -4.76000,	 -1.05000,	2	
Sat Mar 21 11:22:17 2020,	 283.0,	 0.00000,	 -7.87000,	 0.34000,	 -0.61000,	 -1.82000,	 -3.53000,	 -1.08000,	2	
Sat Mar 21 11:22:18 2020,	 284.0,	 0.00000,	 -8.00000,	 0.32000,	 -0.51000,	 -2.99000,	 -3.53000,	 -1.81000,	2	
Sat Mar 21 11:22:18 2020,	 285.0,	 0.00000,	 -7.92000,	 0.29000,	 -0.42000,	 -2.50000,	 -4.21000,	 -0.76000,	2	
Sat Mar 21 11:22:19 2020,	 286.0,	 0.00000,	 -7.83000,	 0.35000,	 -0.48000,	 -2.72000,	 -4.18000,	 -1.80000,	2	
Sat Mar 21 11:22:19 2020,	 287.0,	 0.00000,	 -7.90000,	 0.32000,	 -0.49000,	 -2.61000,	 -4.42000,	 -0.70000,	2	
Sat Mar 21 11:22:20 2020,	 288.0,	 0.00000,	 -7.90000,	 0.36000,	 -0.48000,	 -2.40000,	 -5.58000,	 -0.82000,	2	
